"Sample Size","Algorithm","Time"
"1000","QuickSort","1.587"
"1000","QuickSortSeuil","1.339"
"1000","QuickSortRandomSeuil","1.647"
"1000","CountingSort","0.496"
"5000","QuickSort","9.126"
"5000","QuickSortSeuil","9.325"
"5000","QuickSortRandomSeuil","10.927"
"5000","CountingSort","1.835"
"10000","QuickSort","20.534"
"10000","QuickSortSeuil","20.733"
"10000","QuickSortRandomSeuil","23.54"
"10000","CountingSort","3.571"
"50000","QuickSort","125.835"
"50000","QuickSortSeuil","126.778"
"50000","QuickSortRandomSeuil","142.6"
"50000","CountingSort","18.898"
"100000","QuickSort","248.992"
"100000","QuickSortSeuil","241.998"
"100000","QuickSortRandomSeuil","278.35"
"100000","CountingSort","34.621"
"500000","QuickSort","1495.094"
"500000","QuickSortSeuil","1469.648"
"500000","QuickSortRandomSeuil","1800.58"
"500000","CountingSort","218.934"
