"Algorithm","Sample Size","Time"
"QuickSort","1000","2.194"
"QuickSortSeuil","1000","1.946"
"QuickSortRandomSeuil","1000","1.94"
"CountingSort","1000","15356.892"
"QuickSort","5000","10.972"
"QuickSortSeuil","5000","9.676"
"QuickSortRandomSeuil","5000","11.083"
"CountingSort","5000","78509.222"
"QuickSort","10000","21.496"
"QuickSortSeuil","10000","20.448"
"QuickSortRandomSeuil","10000","24.298"
"CountingSort","10000","153939.556"
"QuickSort","50000","128.808"
"QuickSortSeuil","50000","126.564"
"QuickSortRandomSeuil","50000","136.715"
"CountingSort","50000","0.0"
"QuickSort","100000","244.156"
"QuickSortSeuil","100000","240.015"
"QuickSortRandomSeuil","100000","289.602"
"CountingSort","100000","0.0"
"QuickSort","500000","1585.123"
"QuickSortSeuil","500000","1534.158"
"QuickSortRandomSeuil","500000","1776.394"
"CountingSort","500000","0.0"
