Sample Size,Algorithm,Time
1000,QuickSort,0.000529
1000,QuickSortSeuil,0.000446333
1000,QuickSortRandomSeuil,0.000549
1000,CountingSort,0.000496
5000,QuickSort,0.000493435
5000,QuickSortSeuil,0.000504194
5000,QuickSortRandomSeuil,0.000590813
5000,CountingSort,0.000367
10000,QuickSort,0.00051335
10000,QuickSortSeuil,0.000518325
10000,QuickSortRandomSeuil,0.0005885
10000,CountingSort,0.0003571
50000,QuickSort,0.000535585
50000,QuickSortSeuil,0.000539599
50000,QuickSortRandomSeuil,0.000606942
50000,CountingSort,0.00037796
100000,QuickSort,0.000497984
100000,QuickSortSeuil,0.000483996
100000,QuickSortRandomSeuil,0.0005567
100000,CountingSort,0.000069242
500000,QuickSort,0.000524689
500000,QuickSortSeuil,0.000515759
500000,QuickSortRandomSeuil,0.000631897
500000,CountingSort,0.000437868
